User,Text,label
Retnobudiaa,enzy storia waktu ke ny bisa tuh walaupun persepsi warga us vaksin sinovac sama aja gak vaksin,1
gpnybf,gabisa deh gue dapet bule karna apa karna vaksin sinovac alasan yg primitiff,1
TedHilbert,thn sehat sebelum vax ini hasil setelah dosis sinovac gejalah parah juga,1
gpnybf,anying kan vaksin sinovac bikin alergi apa ya,1
rrachmanmy,tapi vaksin lagi dekat negara tujuan kalau kitaran asia keknya masih bisa tuh sinovac,1
pretzellaaa,temen gue baru balik liburan dari swiss dan dia sinovac kok,1
writebur,haii vaksin dengan jenis coronavac sinovac boleh dan diijinkan untuk keluar negeri tapi ada beberapa n,1
doyantahuisi,setau gue kl sinovac mesti pake booster kalo vaksin kyk astra udh boleh keluar meski ga pk booster,1
PratamaFirgie,aku jg ga mens bln setelah vaksin sinovac,1
B75_tvvt,bisa pake vaksin booster lg klo emang syarat ke luarny g bisa yg sinovac jadi tetep b,1
tinkerbellee19,masih bisa kok vaksin sinovac dipake persyaratan sebagai syarat terbang nanti di bandara vaksin lg ka,1
ruoletr,lah gw sinovac anjir begimana ini padahal mau nyamperin kai,1
koramil15myd,di akhir pekan kodim sleman serbu dua gereja dan dua kampussleman komando distrik militer s,1
Rifansyahalsaa,kalo ada pernikahan di liat dari kasta vaksin pasti gw di kasta terendah soalnya sinovac dan kalo sinovac gaboleh,1
lanapwt_,sinovac dah jarang banyaknya moderna sama astra,1
vindhietama,sinovac bukan nya paling gede ya pfizer,1
jungdayyum,bisaaa kokk us udh nerima org2 yg vaksin sinovac,1
cqstelllooo09,sinovac kasta terendah di pervaksinan,1
Riyan_____,kipi sinovac memang ga berat tapi menyerang ke lambung scr umum kalo secara,1
sitisorayani,ini yang lagi aku pusingin sekarang vaksinku sinovac katanya sih bisa booster kalau mau ke ln pusingi,1
lafaphrodite,ke ksa gaboleh pake sinovac minimal moderna,1
cendikiaaawan,negara spesifik aja kalo sg mayal mah boleh sinovac,1
diaCherie,sinovac bukannya banyak diterima ya,1
Bocah_Doyong,goro vaksin sinovac kekuatanku ilang kabeh asw og,1
apriliacantik,gpp kalau belum dapat usahakan jangan dapat sinovac susah mau keluar negeri,1
thtpnss,yang vaksin sinovac gabole ke luar negeri,1
pemantautemlen1,iya bro tapi itu tergantung vaksinnya kalo pake sinovac ttp karantina pengecualian cm,1
nfalees,nak kena cucuk booster pfizer nampak gaya ni kebanyakkan negara tak terima sinovac pulak apo eh sendu ah gini,1
emmahasy,buat masa sekarang ini hanya yg dah ambil vaksin pfizer dan az shj boleh pergi yang ambil vaksin sinovac perlu boo,1
farm_pai,assalamualaikum yb hisham minta izin nk tanya sy ambik sinovac dua dos pd julai lps dan,1
noonagimbap,udahh x sinovac tapii,1
rismadsy,ekspresi orang kalo pengen liburan ke ln tapi pake vaksin sinovac,1
apriliacantik,buat makan dalam resto di jerman harus ada tes antigen negative ribet ya soalnya vaksin sinovac eike yg udah x,1
jembermfs,jbrfess rek ada yg tau info vaksin dosis sinovac untuk besok thankyou,1
msusetio16,kawanku suntik vaksin dapet sinovac aku disuntik dapat beast titan,1
"ichaicharisha	ya allah tempat terapi mama percaya kalo vaksin sinovac ada chipnya		",,1
Latif68820435,tapi pasti bapak sinovac maaf ya sayamah astrazeneca jadi bisa ke eropa kalau diongkosin,1
ypastuti,hanya ada sinovac dan moderna saja gak ada astra kah,1
SittaSodiq,ya tuhan mau cari vaksin ke sinovac di jogya belum dapat2,1
dndr_ima,vaksin kedua gw apa ye moderna ato sinovac ye,1
Im_Kiira,aku laper habis vaksin hahahaha ya bulan lama ternyata hahah sinovac palingan bulanan kak,1
buihlautaan,udah vaksin sinovac masih aja gaditerima dibeberapa negara,1
Im_Kiira,aku sinovac yg umum kak hahah maklum massal hahaah ntar november sosis hahah,1
knmarrie,ini sinovac kasta terendah pervaksinan kah,1
nu_nu_riw,sm itu si ka kan sinovac kadang disebut coronavac jg gpp ka semoga barely ada kipi kl pun ada yg ngantu,1
harissidqi,sinovac aja begini efeknya gimana moderna,1
iamstwn,akp dicky pratama menjelaskan vaksin yang digunakan ialah sinovac,1
ndreprtm,data sinovac sama az ada nggak ya yg bikin di daerah asia,1
