username,tweet,label
ChoixSteve,sabar asli pgn mukul bawaannya bisa ga si guru ngasitau bbrp haru sblm vaksin dadakan bgt anjirrr masalahnya,0
ChristopWilliam,aku gak tahu info yang buka vaksin sinovac di jakarta dan sekitarnya dongs,0
clumzyycathrine,aku bikin surat domisili untuk vaksin pas aku nanya org nanya pak bayar brp dia bisik2 seiklasnya aja yaudah gue kasi k gara2 g ada duit kecil,0
massdoyie,soalnya besok vaksin kedua jadi gaboleh kurang tidur terus juga besok jadwalku pagi banget jam harus dah sampe,0
jo0chan,vaksin sampe sore emg ak kira sampe siang doangyauda klo gitu minggu ini puas2in buat lerenbuka twtr tp ga keliatan di tl masa,0
umairahizzatii,mesti tak vaksin lagi kan tu yang takleh rentas negeri tu hshshshs,0
wradi24,aku udah vaksin pertama di jalan sukamana jalan sukamana,0
contactap2,halo kak dapat kami informasikan untuk rute penerbangan pku bth diperbolehkan membawa hasil antigen x24 jam jika sudah melakukan vaksin dosis kedua tks diki,0
ChoixSteve,gajadi begadang deh besok mau vaksin pagi,0
shaunmandas,jan lupa man hari lagi vaksin kedua,0
Kodim_0410_Kbl,babinsa koramil 01 panjang kodim kbl sertu novi setiadi bersama lurah dan bhabinkamtibmas kelurahan way dadi mendukung kegiatan gebyar vaksin covid 19 yang berlangsung di tingkat kelurahan way dadi kota bandar lampung,0
wxnyyyyyy,duk tenung kipas ni fikir mcm mana kalau tetibe polis tanye vaksin ala keyakinan aku terus luntur lah gini,0
polrespessell,silahkan kunjungi gerai vaksin polri presisi terdekat vaksin gratis aman dan halal capaian hari ini selengkapnya,0
kursipijat,dari mana vaksin dibuat,0
ilovemadu_,abis vaksin ke badan bener bener cape bgt,0
Susansiti96,aku udh vaksin ke lg nungguin vaksin kedua nih dosis keduanya blm masuk,0
Kodim_0410_Kbl,babinsa koramil 06 kedaton kodim kbl peltu mansyah bersama bhabinkamtibmas dan satgas covid 19 kelurahan rajabasa monitoring pelaksanaan gebyar vaksin covid 19 tingkat kelurahan di kelurahan rajabasa kecamatan rajabasa kota bandarlampung senin 11 10,0
thingsjeno,omg besok sy vaksin,0
fatimahfsl,salah puak2 antivaksin terpaksa walk in last minute cucuk vaksin sebab nak teruskan bekerja dengan company amp dapat benefits,0
lucky0neisme,terus kan ya ngeprint sertif vaksin gue maunya satu lembar satu sertif lah dia ngotot buat digabungin anjrot sertif lah ini org ngapa dah kalo ada masalah keluarga selesein dulu jangan kerja dulu anjrot yaudah gue gas balik dong bd amat banyak org,0
nordin_zaman,selepas ini klau kerajaan ujudkan kad hijau setiap rakyat yg sudah terima dos kita lihat apa tindakan yg dilakukan oleh geng anti vaksin,0
pipiss_,semoga dapet booster vaksin kedua soalnya bulan mei lalu,0
pica_pace,vaksin dan prokes mencegah penularan,0
RestrickA,vaksin dan prokes mencegah penularan,0
antaramakassar,sulsel terima dosis vaksin pfizer dari pemerintah pusat,0
myuiinaa,sebab aku pun vaksin khamis ni hshhss,0
Kodim_0410_Kbl,guna meningkatkan herd immunity ditengah pandemi covid 19 kepada masyarakat kodim kbl kembali menggelar serbuan vaksin covid 19 di markas kodim kbl jln imam bonjol kota bandar lampung senin 11 10,0
fromisasep,kayanya ini vaksin nya dosis gila,1
katzen_jammer,beneran kak di tempatku juga santuy aja walaupun beberapa event kadang ada yg pakai sertivaxx atau hasil tes negatif bagi yg ga vaksin temenku aja kaget begitu aku ceritain seperti apa kondisi perkopidan di,0
Nralsblqs_,sebelum umum boleh rentas ni ada je orang tu taknak vaksin tapi dua minggu sekali datang kl datang kl makan sini sana buat story sampai ke melaka jb perak dia lepas tak tahu ilmu apa dia pakai sampai ada pelepas untuk rentas negeri,1
shockycooky,akhirnya ya allah rabu vaksin terakhir hijh udah males kemana manaa capekk ketemu banyak orang,0
__H5h_Aina___,dosisnya harus berkali2 di vaksin juga kayaknya dok kalau sekali ga mempan,0
Unsoedfess1963,jends mau nanya ada yg pengalaman ga kalo sertif vaksin ga muncul di pedulilind ngi gimana ya soalnya aku mau vaksin di beda tempat gituu,0
edhiresidentevi,di tempat aku ada ko vaksin sinovac dan astra untuk jalannya di daerah kelurahan gunung sahari jak pus,0
khurntrtm,kok badan sebelah kiri kemeng semua smnjak vaksin tadi,0
lionhea7t,vaksinsi cegah penularan covid 19 dan ciptakan kekebalan komunal,0
toomanysarah,maaf kak bukannya dr dulu vaksin utk mencegah tertular penyakit koq bsa utk mencegah kematian mslahny d sni stlah di enjuss jg ttap tertular beda ma vaksin2 jaman bahela ap sy yg krang paham,1
rizally13,lol juta suntikan pertama doang sempet2nya menepuk dada itu lho byk daerah yg blom dapet stok vaksin jgn jakarta n bali mulu jadi parameter,0
ZonaWajibSenyum,vaksinsi cegah penularan covid 19 dan ciptakan kekebalan komunal,0
prsksj,ketemu bapak bapak gila di instrogasi sama kang angkot dah ada cowo belom kang angkot cerita dia waktu vaksin kang angkot ngasih tebak tebakan kang angkot kasih ilmu pengetahuan tetang makanan kang angkot rokes abang abang santri yang wanginya medok dempet dempet banyak,0
ChoixSteve,yaallah males bgt mau vaksin ke sekolah bsk ke sekolahnya aja mnitan anjirrr,0
1404Stj,selamat malam indonesiasegala upaya baik semoga 1 akhir oktober21 total vaksinasi mencapai juta dosis penyuntikan2 akhir desember21 total vaksinasi juta dosis penyuntikan3 vaksin dan vaksinasi smg sukses pcepatan mewujudkan herd immunitypandemismg makin reda,0
asriwidyani,hari ini banjaran bdg vaksin bdg banjaran pulang jemput anak banjaran bdg anter anak ke dr bdg banjaran pulang lalu nyiapin besok bimbingan buat artikel yuk bersyukur yuk,0
kuesuss_,ini badan kenapa sih hei udah rentan apa gimana masa cuma tembung usu karang berombak usu tapi badan dah serasa kaya abis kenak vaksin,0
BotolOrange,cerita hari ini sangat memalukan pulang dari vaksin belok dijalan yg gak aspal eh taunya aku njungkel bersama si scoopy mayan lah nih tangan njarem plus kemeng efek vaksin eh ditambah atraksi alias njungkel,0
ahmad_sulhi_,bila org yg pd awalnya antivaks tiba2 dah insaf dan ambik vaksin semua rasa awkward sikit bila nak sembang bab vaksin ni,0
ajerav,udh vaksin,0
kthsweetily,kalau lagi haid terus vaksin gapapa kan soalnya besok gue vaksin dosis nih,0
AzmawiAzizan,yang rentas negeri nanti adalah dari kalangan yang telah lengkap vaksin yang tak divaksin tidak boleh ke mana mana,0
Dwiharmono_kbm,makin diktator lama2 kupingnya panas internet bisa2 dihapus lama2 naik sepeda ontel bawa surat vaksin hh ayo selagi msh bisa bersuara lanjutkan merdeka,1
unknown_thetic,udah vaksin atau belum,0
mbapulen,yoooo mau vaksin kedua bisa ga yea,0
kugisuki,aku kemarin nggak malah ga berasa abis vaksin samsek e tapi ini tergantung jenis vaksin kyknya,0
jenmiIady,besok vaksin kedua huaaaaaaaa,0
ViantAlexa5,tolak vaksin politik,1
kthsweetily,besok vaksin dosis terus barengan sama ptm jadinya jam kedua buat yang mau vaksin disuruh ngga masuk padahal besok mapel favorit,0
wiiidddiii,x kali mau vaksin nik tidak terdaftar padahal udah kekelurahan katanya tunggu hari belom bisa jg skrg d suruh nunggu hari lagi,0
haechanzi,tp klo mau vaksin jngn begadang harusnya,0
wendhyrachmadha,agar ngajar kita selalu aman wajib banget untuk vaksin menggunakan masker dan melakukan swap oke corona memang angka keterjangkitnya sudah menurun tapi wasapa harus terus ditingkatkan,0
heavysouldeath,kdg agak cape jg sering dituduh suntik putih jujur w cm berani suntik vaksin doang,0
nad_Schokolade,staring with annoyed eyes dalam hati eh budak ni nak ingatkan tentang vaksin atau birthday dia,0
turquoistars,ktp kartu vaksin uang hp cuma itu harta berhargaku kalo ilang mati la aku,0
fitrahope,aku tak cukup lagi boleh ja pi walk in tak payah nak bagi alasan banyak dah pusat vaksin boleh walk in apooo,0
zkrinkme,tak wey skrang ni asal bila dh bg rentas negeri aku punya busy lain mcm mama aku cukup hari lepas nd dose in a few days tp pastu aku pulak kena vaksin dkt sgt tarikh lepas tu mama pulak kena jaga exam then aku plak exam so bulan november br aku boleh blk kampung,0
republikaonline,indonesia menjadi negara peringkat ke lima di dunia untuk jumlah orang yang divaksin,0
Ndev_ita,abis vaksin sih itu mah,0
Beritasatu,data penerima vaksin covid 19 sampai oktober,0
backtobebek,aku seharusnya tidur cepet malam ini karena besok vaksin,0
nurhadivlrnd,akhir akhir ini paling konsep nya tentang corona vaksin trend tiktok gitu gitu maybe,0
kageyanad,vaksin yang kedua sakit ga sie,0
dibidibidipsss,mudah sakit tapi gatau knp semenjak vaksin jadi jarang sakit,0
idxchannelcom,alhamdulillah juta orang sudah disuntik vaksin covid 19 dosis pertama,0
avastar66,besok vaksin kedua jadi mo tidur cepet goodnight moots,0
milkxwayy,ada gak sih vaksin yg efeknya jadi gak mager dan gak laper,1
newsmerahputih,hoaks atau fakta vaksin covid 19 rencana depopulasi manusia,1
yayayaokey,lah blm vaksin juga lu bu,0
archillers,besok vaksin ke 2 juga semoga baik baik aja karna laprak ku menunggu,0
haechanzi,awas loyo ntar pas vaksin,0
nabilladhh,buka web victori vaksin semarang coba,0
badmiinah,kyke mergo vaksin deh,0
oceanbleeu,abis vaksin lgsg kompres pake air es cobaa w kemaren sampe sering oles pake freshcare udh berapa kali masih aja sakit mana paginya langsung down,0
leehaechann1,vaksin kedua besok di pak rw kepeleset nyampe,0
mmarklee03,ikut kagak gue mau nongkrong nih katanya mau vaksin besok tapi malah nongkrong jamsegini,0
__H5h_Aina___,butuh vaksin yg bisi bikin otak cerdas kayaknya dok,1
4rynig,hari ini habis vaksin kedua,0
undipmenfess,dips info vaksin di semarang,0
KEZIAAM0UR,vaksinasi covid 19 di jakarta dosis capai dan dosis capai vaksin,0
GED0NG,vaksinasi covid 19 di jakarta dosis capai dan dosis capai vaksin,0
RawrrShuaa,sakit bgt ueueue t___t hbs vaksin,0
huwietan,jual vaksin palsu udah ga laku eh sekarang jualan berita palsu,1
